,pc1_var,pc1_cosine_to_fullsample
2017-11-24,0.3828023319763189,0.48789928452845194
2017-11-27,0.3821461485490126,0.4757292940859437
2017-11-28,0.38181787587600136,0.47681839462465536
2017-11-29,0.3821351340990885,0.475290668342346
2017-11-30,0.38151682844981477,0.45965640793908114
2017-12-01,0.3816290053687848,0.45404594047040847
2017-12-04,0.3888593757963086,0.4582824343457125
2017-12-05,0.3949235911492417,0.40399471303740064
2017-12-06,0.38924749087710403,0.3948199918423008
2017-12-07,0.388657604223977,0.3644141642934205
2017-12-08,0.39745975041345766,0.3487703905563644
2017-12-11,0.4057410422400072,0.33750911245757564
2017-12-12,0.4170250951129385,0.3389466772563135
2017-12-13,0.4216356829173769,0.33929145641896513
2017-12-14,0.42140746321863126,0.3434088998306642
2017-12-15,0.4209229648839633,0.3352851435598372
2017-12-18,0.423326373695795,0.33640906176471563
2017-12-19,0.42466478971608,0.33291449068752627
2017-12-20,0.4230432797545253,0.3354279746401103
2017-12-21,0.42438588917745024,0.3360716819529263
2017-12-22,0.42101331517150337,0.34714487792742565
2017-12-25,0.42222620929202104,0.3440127912021486
2017-12-26,0.4186884782619435,0.3200042893014365
2017-12-27,0.42106446901354105,0.31756981653310606
2017-12-28,0.4180295918623619,0.3345499349109317
2018-01-03,0.3911330189256207,0.37622375084536974
2018-01-04,0.3908787191391821,0.3568933807742722
2018-01-05,0.39035877944211556,0.36401107311976527
2018-01-08,0.39196895432860424,0.3705713267462349
2018-01-09,0.3865748593370367,0.3630757272859007
2018-01-10,0.38591662358631845,0.3603086826271887
2018-01-11,0.38263560658071066,0.3535425001930886
2018-01-12,0.36487743966415326,0.3047069580277926
2018-01-15,0.365097818720801,0.29218491428984567
2018-01-16,0.36069811788340606,0.37727856461276116
2018-01-17,0.36037498107952853,0.3744233456533975
2018-01-18,0.35920894097836215,0.38008036756527086
2018-01-19,0.3568666161616088,0.39350342254076703
2018-01-22,0.3567914921536905,0.39162509334071693
2018-01-23,0.3558991118569579,0.3746322055858526
2018-01-24,0.355014302679045,0.35587747735170916
2018-01-25,0.35215757555044575,0.3451473649410319
2018-01-26,0.35028745108416015,0.3543588236678178
2018-01-29,0.35190285669317517,0.32631074130127025
2018-01-30,0.35385328660026394,0.32051098353204227
2018-01-31,0.35550151047827566,0.3148583788687752
2018-02-01,0.3488021652227868,0.3184946650995912
2018-02-02,0.3465949283881234,0.3330026487495137
2018-02-05,0.34658340056809245,0.32313137124450575
2018-02-06,0.3400500126988062,0.33178977267451176
2018-02-07,0.3363387366119312,0.3356912681748655
2018-02-08,0.3358119535849294,0.37414627060882555
2018-02-09,0.3385300877293435,0.4227313419112626
2018-02-12,0.33928408806201266,0.41110627615843004
2018-02-13,0.34072348210919445,0.4132808489182419
2018-02-23,0.34057165642751475,0.3496961082560042
2018-02-26,0.3434180846750968,0.3777366398894394
2018-02-27,0.3419001986097411,0.3074645397012479
2018-02-28,0.34192157653765287,0.3790487754348345
2018-03-01,0.34178601426933897,0.38611781210967483
2018-03-02,0.345364239246571,0.40078243653492235
2018-03-07,0.34593622335326146,0.4456456208855249
2018-03-08,0.34622472419199596,0.45293624882147726
2018-03-13,0.3478072720486232,0.461443337711361
2018-03-14,0.3480955256148724,0.4498245216651297
2018-03-15,0.34748103398706065,0.45126647321156144
2018-03-16,0.34809554246477675,0.4488277373214803
2018-03-19,0.34128495862263086,0.4220613949950004
2018-03-20,0.34080165442744365,0.4437895919002492
2018-03-21,0.34019699770097384,0.4372819483824972
2018-03-22,0.33758412838620716,0.4117891829930731
