date,regime_most_likely,regime_prob_0,regime_prob_1,regime_prob_2,regime_raw
2012-12-31,0,0.9993256691800819,3.942841235721904e-05,0.0006349024077429527,0
2013-01-01,0,0.0007590980851715785,0.999112485114451,0.00012841680014307212,1
2013-01-04,1,0.00012042192454824911,0.9995021996942767,0.00037737838205895125,1
2013-01-09,1,0.002260675624483156,0.9976264062236038,0.00011291815203740169,1
2013-01-10,1,0.0027345737389667616,0.9971117332111421,0.00015369305051506836,1
2013-01-11,1,0.000575538818729866,0.9990868026260247,0.0003376585543388527,1
2013-01-14,1,0.004096214683801992,0.9955718728446068,0.00033191247114950707,1
2013-01-15,1,0.0029450892523879228,0.996720427004182,0.000334483743950566,1
2013-01-16,1,0.003054164922783744,0.9966279574099511,0.00031787766766513796,1
2013-01-17,1,0.0038812521659824955,0.9959618578004569,0.00015689003361905095,1
2013-01-18,1,0.0020651143080511556,0.997606461232079,0.0003284244596477249,1
2013-01-21,1,0.0021249068396903925,0.9975250433114292,0.00035004984841946745,1
2013-01-24,1,0.0027018373250015577,0.9971846158332807,0.00011354684098216395,1
2013-01-25,1,0.0005760693811030956,0.9993812481652481,4.268245326120927e-05,1
2013-01-28,1,4.572614372928782e-07,0.9993418168665267,0.000657725872218256,1
2013-01-29,1,0.0005077971302553368,0.9994667112245837,2.5491645627676494e-05,1
2013-01-30,1,0.0004546337069169663,0.9994937412783019,5.162501549866494e-05,1
2013-01-31,1,0.0008711736260721991,0.9989593679858015,0.00016945838730405823,1
2013-02-01,1,0.008705941077350841,0.990775125453739,0.000518933468030398,1
2013-02-04,1,0.005270052113597341,0.9941110775192337,0.000618870366753836,1
2013-02-05,1,0.005065830282682324,0.9942432207828669,0.0006909489346171924,1
2013-02-06,1,0.0034795086606814463,0.9960964075060339,0.00042408383314062085,1
2013-02-07,1,0.006504497506779342,0.9929823514251432,0.0005131510675302883,1
2013-02-08,1,0.0021635211935988963,0.9974467148297543,0.000389763976940606,1
2013-02-11,1,0.0026897061340409823,0.9971639664285847,0.00014632743713686845,1
2013-02-12,1,0.002351161483629627,0.9974851712539186,0.0001636672623738232,1
2013-02-13,1,0.0032730112961687225,0.9965725121173404,0.00015447658575757386,1
2013-02-14,1,0.0013941521241075713,0.9984758911388071,0.00012995673797616558,1
2013-02-15,1,0.0039344771548543295,0.9957315055643366,0.0003340172813897236,1
2013-02-21,1,0.0022876956371720063,0.9969447387583372,0.0007675656049566487,1
2013-02-22,1,0.006255859259959863,0.9906087618228531,0.0031353789180285116,1
2013-02-25,1,0.008771489879773678,0.9906968220427417,0.0005316880780307184,1
2013-02-26,1,0.007242023516893051,0.98934007403586,0.0034179024472962213,1
2013-02-27,1,0.009836350671495742,0.9891188288874924,0.0010448204402198622,1
2013-02-28,1,0.01743160188457525,0.9816666067525613,0.0009017913631460495,1
2013-03-01,1,0.6073037128627643,0.37452867992520855,0.018167607212551607,0
2013-03-04,0,0.7651795671515264,0.2135914026990457,0.02122903014920917,0
2013-03-05,0,0.5576826830895923,0.4321643328835914,0.010152984026217414,0
2013-03-06,0,0.13982687650891254,0.84401625731437,0.016156866176512602,1
2013-03-07,0,0.45610842639939797,0.4533784424318025,0.0905131311685383,0
2013-03-08,1,0.1864986132912954,0.7752058405480016,0.03829554616064764,1
2013-03-11,0,0.5942697303397217,0.07210390395657103,0.33362636570415616,0
2013-03-12,1,0.38654469415026965,0.5206341262652232,0.09282117958417153,1
2013-03-13,0,0.8102203422684923,0.15369306422108622,0.03608659351095655,0
2013-03-14,1,0.47158534960004633,0.5150214757825263,0.01339317461727473,1
2013-03-15,0,0.580070742715186,0.40611111313740456,0.013818144146799122,0
2013-03-18,0,0.7639698663196351,0.2272789425170627,0.008751191162698504,0
2013-03-19,0,0.7726686931911931,0.21460112952831933,0.012730177279741866,0
2013-03-20,0,0.5073531567259526,0.17232521191458705,0.32032163135933545,0
2013-03-21,0,0.5514813841899634,0.29878763328799296,0.14973098252169625,0
2013-03-22,0,0.8403325996010023,0.1055500447642936,0.05411735563515384,0
2013-03-25,0,0.08059666672743297,0.8814553024884729,0.03794803078379905,1
2013-03-26,1,0.13324206054168622,0.8257632402259113,0.04099469923330648,1
