Pair,Entry Year,Entry Date,Exit Date,Direction,Entry Spread,Exit Spread,Opt_Entry_Z,Opt_Exit_Z,Net PnL (bps),Holding Days,Exit Reason
USD-EUR 5Y,2011,2011-03-11,2011-03-14,Long,0.002027294288606152,-0.034524398647902466,1.5,1.0,-370.5169293650862,3,Mean Reversion
USD-EUR 5Y,2011,2011-03-25,2011-03-28,Short,0.02007872119018006,0.013706291526062175,1.5,1.0,58.724296641178846,3,Mean Reversion
USD-EUR 5Y,2011,2011-04-13,2011-04-15,Long,-0.02567405550591295,-0.028476886540455437,1.5,1.0,-33.028310345424856,2,Mean Reversion
USD-EUR 5Y,2011,2011-05-11,2011-05-12,Short,-0.010751068127485164,0.010253037572107493,1.5,1.0,-215.04105699592657,1,Mean Reversion
USD-EUR 5Y,2011,2011-06-02,2011-06-03,Long,-0.002539943796586064,-0.043108381556821396,1.5,1.0,-410.6843776023533,1,Mean Reversion
USD-EUR 5Y,2011,2011-06-06,2011-06-07,Long,-0.013128980158316761,-0.026519600005671107,1.5,1.0,-138.90619847354347,1,Mean Reversion
USD-EUR 5Y,2011,2011-06-15,2011-06-17,Short,-0.025740765271744515,-0.018838953021818483,1.5,1.0,-74.01812249926031,2,Mean Reversion
USD-EUR 5Y,2011,2011-07-13,2011-07-18,Long,-0.0229178285520919,0.005682017461364319,1.5,1.0,280.9984601345622,5,Mean Reversion
USD-EUR 5Y,2011,2011-12-22,2011-12-28,Short,0.029093081265160137,-0.016891865560176522,1.5,1.0,454.8494682533666,6,Regime Shift (Forced)
USD-EUR 5Y,2013,2013-10-31,2013-11-06,Short,0.06744164898136751,-0.014960349633338588,1.5,1.0,819.019986147061,6,Mean Reversion
USD-EUR 5Y,2013,2013-11-11,2013-11-14,Short,0.03851373121180113,-0.019454531372367134,1.5,1.0,574.6826258416826,3,Mean Reversion
USD-EUR 5Y,2013,2013-12-20,2013-12-27,Short,0.05216436356351728,-0.025505339876101374,1.5,1.0,771.6970343961865,7,Regime Shift (Forced)
USD-EUR 5Y,2014,2014-09-03,2014-09-08,Short,-0.030279059405221603,0.02741936391081437,1.5,1.0,-581.9842331603597,5,Mean Reversion
USD-EUR 5Y,2014,2014-09-11,2014-09-16,Short,0.039774093540582506,0.0015766511392515947,1.5,1.0,376.9744240133091,5,Mean Reversion
USD-EUR 5Y,2014,2014-12-08,2014-12-10,Short,0.06370242163998156,-0.029622040673095318,1.5,1.0,928.2446231307688,2,Mean Reversion
USD-EUR 5Y,2016,2016-03-14,2016-03-15,Short,0.0186367126873625,0.011533421665186477,1.5,1.0,66.03291022176023,1,Mean Reversion
USD-EUR 5Y,2016,2016-03-17,2016-03-22,Long,-0.032750277521653715,0.028800234213809534,1.5,1.0,610.5051173546325,5,Mean Reversion
USD-EUR 5Y,2016,2016-03-30,2016-04-01,Long,-0.0533038469047753,-0.046409098970368656,1.5,1.0,63.94747934406642,2,Regime Shift (Forced)
USD-EUR 5Y,2016,2016-05-18,2016-05-23,Short,0.0867957253203212,0.020890430099046786,1.5,1.0,654.0529522127442,5,Mean Reversion
USD-EUR 5Y,2016,2016-05-25,2016-05-27,Short,0.03706904365356278,0.027659609444779132,1.5,1.0,89.09434208783651,2,Mean Reversion
USD-EUR 5Y,2016,2016-06-16,2016-06-17,Long,-0.0011643428988697968,0.012986398531689924,1.5,1.0,136.50741430559722,1,Mean Reversion
USD-EUR 5Y,2022,2022-04-20,2022-04-22,Short,0.03554051040511752,-0.04585058141413545,1.5,1.0,808.9109181925297,2,Mean Reversion
USD-EUR 5Y,2022,2022-04-27,2022-04-29,Long,0.05606896845849069,0.03627887168570043,1.5,1.0,-202.90096772790255,2,Mean Reversion
USD-EUR 5Y,2022,2022-05-03,2022-05-06,Short,0.03147046465145442,-0.012254403844171646,1.5,1.0,432.24868495626066,3,Mean Reversion
USD-EUR 5Y,2022,2022-09-23,2022-09-26,Short,0.013868825998276879,0.07929570768935723,1.5,1.0,-659.2688169108035,3,Mean Reversion
USD-EUR 5Y,2022,2022-10-21,2022-10-24,Short,-0.02103486313066827,0.0268252892814409,1.5,1.0,-483.6015241210917,3,Mean Reversion
USD-EUR 5Y,2022,2022-11-02,2022-11-04,Short,0.022882804441541005,-0.041188271537803356,1.5,1.0,635.7107597934436,2,Mean Reversion
